O_city,D_city, flow
5,9,16.86
5,10,45.79
5,11,122.74
5,12,7.46
5,13,21.21
5,14,140.04
5,15,33.14
5,16,29.5
5,17,16.84
5,18,127.17
5,19,13.21
5,20,25.57
5,21,172.9
5,22,44.39
5,23,19.33
5,24,72.42
5,25,34.01
5,26,19.93
5,27,28.75
5,28,76.61
5,29,33.93
5,30,118.43
5,31,66.78
5,32,26.23
5,33,71.07
5,34,38.26
5,35,191.72
5,36,47.36
5,37,18.07
5,38,83.08
5,39,66.49
5,40,99.07
5,41,31.87
5,42,97.33
5,43,8.78
5,44,47.32
5,45,141.59
5,46,23.89
5,47,81.25
5,48,105.85
5,49,34.59
5,50,26.98
5,51,7.43
5,52,66.23
5,53,8.72
5,54,132.74
5,55,58.65
5,56,87.48
5,57,29.47
5,58,82.26
5,59,19.45
5,60,65.49
5,61,14.34
5,62,59.27
5,63,44.12
5,64,85.62
5,65,5.58
5,66,141.65
5,67,156.89
5,69,25.18
5,70,105.05
5,71,30.87
5,72,160.36
5,73,59.99
5,74,40.15
5,75,37.82
5,76,17.51
5,77,78.72
5,78,93.01
5,79,21.23
5,80,27.13
5,81,132.34
5,82,10
5,83,49.18
5,84,15.09
5,85,28.02
5,86,71.66
5,87,90.11
5,88,116.34
5,89,16.86
5,90,48.11
5,91,47.45
5,92,32.91
5,93,87.75
5,94,25.07
5,95,117.45
5,97,65.07
5,98,95.07
5,99,20.05
5,100,41.53
5,101,11.88
5,102,110.96
5,103,33.18
5,104,68.33
5,105,53.55
5,106,18.83
5,107,52.4
5,108,53.3
5,109,77.2
5,110,33.07
5,111,11.91
5,112,18.82
5,113,54.73
5,114,16.46
5,115,95.48
5,116,22.48
5,117,99.1
5,118,119.03
5,119,36.99
5,120,139.51
5,121,40.45
5,123,95.39
5,124,9.98
5,125,28.67
5,126,56.58
5,127,107.16
5,128,73.57
5,129,18.76
5,130,23.75
5,131,34.14
5,132,45.22
5,133,30.85
5,134,82.73
5,135,28.88
5,136,6.2
5,137,117.38
5,138,66.38
5,139,114.27
5,140,10.74
5,141,32.59
5,142,30.11
5,143,106.36
5,144,11.82
5,145,30.16
5,146,16.88
5,147,103.72
5,148,114.1
5,149,126.41
5,150,60.27
5,151,20
5,152,4.97
5,153,12.47
5,154,21.91
5,155,8.72
5,156,8.71
5,157,40.54
5,158,195.78
5,159,7.51
6,0,211.25
6,1,87.7
6,2,124.4
6,3,92.65
6,4,88.2
6,5,102.59
6,6,1283.39
6,7,139.57
6,8,105.75
6,9,63.65
6,10,94.3
6,11,100.53
6,12,54.84
6,13,96.2
6,14,96.37
6,15,109.42
6,16,88.83
6,17,49.37
6,18,151.96
6,19,60.15
6,20,109.02
6,21,311.75
6,22,142.38
6,23,93.68
6,24,116.75
6,25,102.67
6,26,79.95
6,27,105.66
6,28,231.51
6,29,193.61
6,30,251.51
6,31,129.21
6,32,99.61
6,33,103.64
6,34,109.14
6,35,182.27
6,36,213.93
6,37,80.7
6,38,120.77
6,39,128.1
6,40,241.42
6,41,171.99
6,42,121.89
6,43,50
6,44,101.99
6,45,211.88
6,46,86.43
6,47,79.11
6,48,87.75
6,49,103.96
6,50,94.26
6,51,61.83
6,52,108.43
6,53,52.97
6,54,479.77
6,55,130.8
6,56,127.73
6,57,87.27
6,58,107.17
6,59,98.9
6,60,218.78
6,61,79.4
6,62,131.34
6,63,115.72
6,64,125.43
6,65,45.51
6,66,251.95
6,67,190.52
6,69,212.33
6,70,152.03
6,71,226.72
6,72,265.51
6,73,129.48
6,74,103.92
6,75,97.7
6,76,93.57
6,77,136.25
6,78,201.17
6,79,90.7
6,80,90.09
6,81,222.57
6,82,57.35
6,83,129.93
6,84,67.99
6,85,91.65
6,86,144.54
6,87,93.04
6,88,123.79
6,89,65.34
6,90,115.43
6,91,109.29
6,92,106.8
6,93,172.08
6,94,109.92
6,95,186.34
6,97,83.22
6,98,253.27
6,99,90.61
6,100,113.71
6,101,64.37
6,102,374.25
6,103,82.52
6,104,140.63
6,105,119.16
6,106,99.05
6,107,117.88
6,108,124.49
6,109,119.12
6,110,102.35
6,111,84.47
6,112,77.11
6,113,115.93
6,114,98.58
6,115,246.76
6,116,74.57
6,117,162.84
6,118,97.73
6,119,73.82
6,120,105.04
6,121,147.37
6,123,150.5
6,124,69.23
6,125,95.07
6,126,158.27
6,127,108.15
6,128,151.35
6,129,89.22
6,130,111.21
6,131,108.2
6,132,106.7
6,133,73.7
6,134,323.07
6,135,100.68
6,136,78.6
6,137,156.65
6,138,137.67
6,139,143.09
6,140,64.07
6,141,90.74
6,142,296.96
6,143,129.08
6,144,58.49
6,145,200.38
6,146,76.72
6,147,167.32
6,148,130.3
6,149,204.59
6,150,140.08
6,151,112.36
6,152,64.87
6,153,70.43
6,154,189.35
6,155,51.96
6,156,59.66
6,157,128.57
6,158,300.48
6,159,48.79
7,0,95.25
7,1,68.74
7,2,173.3
7,3,71.13
7,4,65.92
7,5,69.76
7,6,121.74
7,7,1158.33
7,8,77.77
7,9,43.58
7,10,93.52
7,11,78.53
7,12,39.35
7,13,68.05
7,14,76.45
7,15,105.38
7,16,75.86
7,17,21.24
7,18,130.8
7,19,44.9
7,20,98.14
7,21,227.61
7,22,103.27
7,23,110.48
7,24,103.86
7,25,97.33
7,26,61.28
7,27,83.78
7,28,121.59
7,29,78.51
7,30,210.26
7,31,102.75
7,32,86.67
7,33,106.03
7,34,84.9
7,35,162.39
7,36,107.93
7,37,59.62
7,38,93.17
7,39,109.25
7,40,189.14
7,41,92.41
7,42,82.17
7,43,35.26
7,44,86.8
7,45,180.57
7,46,80.45
7,47,41.68
7,48,64.61
7,49,94.27
7,50,86.84
7,51,45.8
7,52,94.21
7,53,38.58
7,54,224.22
7,55,137.57
7,56,94.84
7,57,71.08
7,58,109.76
7,59,51.93
7,60,114.39
7,61,51.52
7,62,135.76
7,63,100.85
7,64,117.57
7,65,71.28
7,66,284.65
7,67,174.68
7,69,85.62
7,70,134.96
7,71,88.87
7,72,213.72
7,73,105.8
7,74,95.54
7,75,72.28
7,76,69.73
7,77,169.18
7,78,181.46
7,79,56.23
7,80,87.48
7,81,263.5
7,82,30.27
7,83,101.15
7,84,66.48
7,85,79.24
7,86,122.91
7,87,70.45
7,88,106.03
7,89,52.16
7,90,121.83
7,91,101.59
7,92,99.13
7,93,127.88
7,94,102.65
7,95,156.91
7,97,53.7
7,98,233.99
7,99,82.47
7,100,92.95
7,101,44.76
7,102,132.97
7,103,76.46
7,104,113.3
7,105,144.38
7,106,81.58
7,107,106.97
7,108,110.11
7,109,116.46
7,110,108.42
7,111,82.84
7,112,70.16
7,113,100.34
7,114,78.85
7,115,126.01
7,116,44.05
7,117,197.24
7,118,80.33
7,119,55.34
7,120,94.11
7,121,162.28
7,123,133.01
7,124,49.95
7,125,58.54
7,126,178.52
7,127,77.95
7,128,177.23
7,129,75.72
7,130,83.48
7,131,88.15
7,132,115.68
7,133,41.73
7,134,147.7
7,135,83.8
7,136,53.61
7,137,143.1
7,138,107.21
7,139,129.12
7,140,45.83
7,141,70.18
7,142,90.64
7,143,96.42
7,144,32.11
7,145,86.65
7,146,61.18
7,147,198.82
7,148,105.11
7,149,146.4
7,150,165.38
7,151,90.23
7,152,23.08
7,153,92.45
7,154,82.93
7,155,32.05
7,156,28.89
7,157,88.85
