Month, ocity_name, dcity_name, Ratio of migration from B to A over total migration into A_monthly average, Ratio of migration from A to B over total migration out of A_monthly 
23-Jun,Shijiazhuang,Binzhou,0.175,0.255833333
23-Jun,Shijiazhuang,Jining,0.200833333,0.215
23-Jun,Shijiazhuang,Heze,0.1975,0.214166667
23-Jun,Shijiazhuang,Changsha,0.214166667,0.21
23-Jun,Shijiazhuang,Luoyang,0.201666667,0.205
23-Jun,Shijiazhuang,Suzhou,0.1975,0.200833333
23-Jun,Shijiazhuang,Xuzhou,0.175,0.179166667
23-Jun,Shijiazhuang,Linfen,0.160833333,0.178333333
23-Jun,Shijiazhuang,Zhoukou,0.139166667,0.1625
23-Jun,Shijiazhuang,Dongying,0.1375,0.160833333
23-Jun,Shijiazhuang,Shuozhou,0.131666667,0.159166667
23-Jun,Shijiazhuang,Puyang,0.164166667,0.159166667
23-Jun,Shijiazhuang,Hefei,0.150833333,0.1425
23-Jun,Shijiazhuang,Nanyang,0.121666667,0.135
23-Jun,Shijiazhuang,Yuncheng,0.134166667,0.130833333
23-Jun,Shijiazhuang,Zhumadian,0.133333333,0.125833333
23-Jun,Shijiazhuang,Shangqiu,0.115833333,0.1225
23-Jun,Shijiazhuang,Jiaozuo,0.1125,0.121666667
23-Jun,Shijiazhuang,Kaifeng,0.110833333,0.109166667
23-Jun,Shijiazhuang,Xiamen,0.088333333,0.104
23-Jun,Shijiazhuang,Xuchang,0.091666667,0.0925
23-Jun,Shijiazhuang,Rizhao,0.095,0.091818182
23-Jun,Shijiazhuang,Ningbo,0.0875,0.08875
23-Jun,Shijiazhuang,Wuxi,0.090833333,0.088333333
23-Jun,Shijiazhuang,Nantong,0.0925,0.086666667
23-Jun,Shijiazhuang,Nanchang,0.085833333,0.085
23-Jun,Shijiazhuang,Jiaxing,0.07,0.085
23-Jun,Shijiazhuang,Jincheng,0.0925,0.083333333
23-Jun,Shijiazhuang,Wenzhou,0.0925,0.081666667
23-Jun,Shijiazhuang,Fuyang,0.074,0.080833333
23-Jun,Shijiazhuang,Bozhou,0.04,0.08
23-Jun,Shijiazhuang,Yangzhou,0.07,0.08
23-Jun,Shijiazhuang,Hebi,0.07,0.079
23-Jun,Shijiazhuang,Yan'an,0.08,0.078
23-Jun,Shijiazhuang,Zaozhuang,0.0725,0.078
23-Jun,Shijiazhuang,Luohe,0.074,0.078
23-Jun,Shijiazhuang,Jinhua,0.083,0.073636364
23-Jun,Shijiazhuang,Changzhou,0.065555556,0.072
23-Jun,Shijiazhuang,Yancheng,0.068,0.071818182
23-Jun,Shijiazhuang,Lianyungang,0.06,0.068571429
23-Jun,Shijiazhuang,Weinan,0.06,0.067272727
23-Jun,Shijiazhuang,Xinyang,0.069,0.066
23-Jun,Shijiazhuang,Xianyang,0.06,0.064444444
23-Jun,Shijiazhuang,Pingdingshan,0.0675,0.064285714
23-Jun,Shijiazhuang,Suzhou,0.066666667,0.062857143
23-Jun,Shijiazhuang,Fuzhou,0.066666667,0.0625
23-Jun,Shijiazhuang,Xiaogan,0.055,0.06
23-Jun,Shijiazhuang,Quanzhou,0.06,0.06
23-Jun,Shijiazhuang,Xiangyang,0.09,0.06
23-Jun,Shijiazhuang,Jiujiang,0.05,0.05
23-Jun,Shijiazhuang,Baoji,0.04,0.03
23-Jun,Tangshan,Tianjin,27.74083333,26.915
23-Jun,Tangshan,Qinhuangdao,14.66416667,16.535
23-Jun,Tangshan,Beijing,14.71,14.43166667
23-Jun,Tangshan,Chengde,5.871666667,6.6825
23-Jun,Tangshan,Langfang,4.058333333,3.628333333
23-Jun,Tangshan,Shijiazhuang,3.880833333,3.275
23-Jun,Tangshan,Baoding,2.9075,2.905833333
23-Jun,Tangshan,Cangzhou,2.3025,2.6075
23-Jun,Tangshan,Zhangjiakou,1.41,1.106666667
23-Jun,Tangshan,Hengshui,0.81,1.068333333
23-Jun,Tangshan,Handan,0.898333333,0.91
23-Jun,Tangshan,Binzhou,0.558333333,0.7575
23-Jun,Tangshan,Xingtai,0.7175,0.651666667
23-Jun,Tangshan,Jinan,0.473333333,0.485833333
23-Jun,Tangshan,Xinzhou,0.208333333,0.363333333
23-Jun,Tangshan,Qingdao,0.4125,0.351666667
23-Jun,Tangshan,Dezhou,0.345833333,0.349166667
23-Jun,Tangshan,Shanghai,0.405833333,0.324166667
23-Jun,Tangshan,Weihai,0.1825,0.324166667
23-Jun,Tangshan,Yantai,0.251666667,0.2925
23-Jun,Tangshan,Weifang,0.274166667,0.291666667
23-Jun,Tangshan,Datong,0.438333333,0.273333333
23-Jun,Tangshan,Zibo,0.171666667,0.25
23-Jun,Tangshan,Linyi,0.220833333,0.2475
23-Jun,Tangshan,Zhengzhou,0.226666667,0.234166667
23-Jun,Tangshan,Taiyuan,0.320833333,0.229166667
23-Jun,Tangshan,Tai'an,0.156666667,0.229166667
23-Jun,Tangshan,Dongying,0.223333333,0.226666667
23-Jun,Tangshan,Xi'an,0.225,0.2225
23-Jun,Tangshan,Anyang,0.1475,0.17
23-Jun,Tangshan,Heze,0.139166667,0.163333333
23-Jun,Tangshan,Liaocheng,0.165,0.159166667
23-Jun,Tangshan,Hangzhou,0.151666667,0.1425
23-Jun,Tangshan,Jinzhong,0.4775,0.138333333
23-Jun,Tangshan,Jining,0.1675,0.133333333
23-Jun,Tangshan,Nanjing,0.1475,0.133333333
23-Jun,Tangshan,Wuhan,0.154166667,0.130833333
23-Jun,Tangshan,Xinxiang,0.128333333,0.126666667
23-Jun,Tangshan,Suzhou,0.141666667,0.125833333
