ocity,ox,oy,dcity,dx,dy,strength(%%)
Xiangxi,109.7269,28.6947,Jiujiang,115.4527,29.3218,0.01337
Xiangxi,109.7269,28.6947,Yuncheng,111.0634,35.1866,0.0
Xiangxi,109.7269,28.6947,Changde,111.5195,29.3001,6.16643
Xiangxi,109.7269,28.6947,Nantong,121.0218,32.186,0.0
Xiangxi,109.7269,28.6947,Huangshan,118.0711,29.9066,0.0
Xiangxi,109.7269,28.6947,Xinzhou,112.4074,38.8819,0.0
Xiangxi,109.7269,28.6947,Xiantao,113.3751,30.2901,0.00496
Xiangxi,109.7269,28.6947,Suzhou,120.6516,31.3813,0.0
Xiangxi,109.7269,28.6947,Tianmen,113.1118,30.6449,0.00268
Xiangxi,109.7269,28.6947,Chengde,117.5486,41.3476,0.0
Xiangxi,109.7269,28.6947,Fuzhou,116.4343,27.51,0.0
Xiangxi,109.7269,28.6947,Huaihua,110.0754,27.5489,98.31922
Xiangxi,109.7269,28.6947,Shijiazhuang,114.4399,38.1313,0.0
Xiangxi,109.7269,28.6947,Jiaozuo,113.1291,35.1169,0.0
Xiangxi,109.7269,28.6947,Nanyang,112.2845,33.0427,0.0
Xiangxi,109.7269,28.6947,Yongzhou,111.7294,25.7747,0.19781
Xiangxi,109.7269,28.6947,Wuhu,118.1346,31.1627,0.0
Xiangxi,109.7269,28.6947,Ganzhou,115.273,25.7088,0.01224
Xiangxi,109.7269,28.6947,Quzhou,118.6747,28.9345,0.01101
Xiangxi,109.7269,28.6947,Qinhuangdao,119.185,40.088,0.0
Xiangxi,109.7269,28.6947,Ma'anshan,118.3651,31.637,0.0
Xiangxi,109.7269,28.6947,Xiamen,118.1158,24.6765,0.01584
Xiangxi,109.7269,28.6947,Xingtai,114.8159,37.2126,0.0
Xiangxi,109.7269,28.6947,Hebi,114.3109,35.7217,0.0
Xiangxi,109.7269,28.6947,Lianyungang,119.1336,34.5332,0.0
Xiangxi,109.7269,28.6947,Shangrao,117.4723,28.7734,0.01004
Xiangxi,109.7269,28.6947,Baoding,115.1706,39.0213,0.0
Xiangxi,109.7269,28.6947,Yiyang,111.951,28.5751,0.81843
Xiangxi,109.7269,28.6947,Jinan,117.2148,36.6371,0.0
Xiangxi,109.7269,28.6947,Shiyan,110.4423,32.4559,0.00845
